Date/Mensuel;Code UIC;Nom de la gare;Assistance simple;Rampe;Fauteuil;Rampe et  fauteuil;Total
2018-03;0087592824;Saint-Yrieix;17;0;0;0;17
2018-03;0087276188;Sannois;1;23;0;0;24
2018-03;0087487603;Saumur;51;23;7;2;83
2018-03;0087172254;Sedan;5;43;43;0;91
2018-03;0087683003;Sens;11;7;4;2;24
2018-03;0087271429;Sevran - Livry;0;0;0;0;0
2018-03;0087271445;Sevran Beaudottes;0;17;0;0;17
2018-03;0087191007;Thionville;22;32;16;1;71
2018-03;0087487009;Thouars;1;1;0;0;2
2018-03;0087141044;Toul;41;2;4;0;47
2018-03;0087611004;Toulouse Matabiau;1281;313;321;14;1929
2018-03;0087116491;Trilport;0;0;0;0;0
2018-03;0087381798;Val d'Argenteuil;2;14;0;0;16
2018-03;0087415877;Val-de-Reuil;2;2;1;0;5
2018-03;0087611863;Valence d'Agen;3;0;0;0;3
2018-03;0087763029;Valence TGV Rhône-Alpes Sud;320;146;125;5;596
2018-03;0087276626;Vaucelles;0;0;0;0;0
2018-03;0087393009;Versailles Chantiers;42;10;6;1;59
2018-03;0087734426;Vertaizon;0;0;0;0;0
2018-03;0087721332;Villefranche-sur-Saône;25;24;2;1;52
2018-03;0087681809;Villeneuve Triage;0;0;0;0;0
2018-03;0087386649;Villennes-sur-Seine;1;0;0;0;1
2018-03;0087271510;Villeparisis - Mitry-le-Neuf;0;1;0;0;1
2018-03;0087313437;Villers-Bretonneux;0;0;0;0;0
2018-03;0087382887;Viroflay Rive Droite;0;0;0;0;0
2018-03;0087681312;Viry-Châtillon;0;0;0;0;0
2018-03;0087613661;Viviez - Decazeville;0;8;0;0;8
2018-04;0087381657;Achères;1;0;0;0;1
2018-04;0087386052;Achères Grand Cormier;0;0;0;0;0
2018-04;0087271460;Aéroport Charles de Gaulle 1;2;1;0;0;3
2018-04;0087319012;Aix-en-Provence TGV;231;84;135;9;459
2018-04;0087592667;Aixe-sur-Vienne;0;0;0;0;0
